职位名称,详细链接,公司名称,工作地点,薪资,发布时间,职位信息
Python 工程师,https://jobs.51job.com/beijing-cyq/115007713.html?s=01&t=0,北京友聚四海网络科技有限公司,北京-朝阳区,1-1.5万/月,03-26,"岗位职责
1.使用Python语言编程技术实现产品功能；
2.主动推进产品功能进化，配合产品经理挖掘产品价值；
3.数据模型设计，相关文档编写。
任职要求：
1.熟悉Python主流Django框架；
2.熟悉Mysql，熟悉Memcached, Redis等常见的NoSQL数据存储者优先； 
3.有良好的编码习惯，对代码和设计质量有严格要求，重视Code Review ；
4.具有自我驱动、创新和团队精神，乐于沟通和分享，热爱开源，保持开放心态。
职能类别：
其他
微信分享"
Python开发工程师,https://jobs.51job.com/beijing/97824451.html?s=01&t=0,北京斯普信信息技术有限公司,北京,1-1.5万/月,03-26,"1、完成网络拓扑架构研发
2、完成页面布局、浏览器适配、分辨率适配等功能
3、完成相应模块的前端及后端功能研发
4、配合完成测试以及bug修复
任职资格：
1、熟悉HTML5、CSS、JS、AJAX、JSON、Web、bootstrap等框架开发；
2、熟悉拓扑功能实现，有过拓扑展示开发经验；
3、熟悉不同浏览器之间的差异，熟练调试代码；
4、有较强的前端布局设计、规划能力，能准确把握网站的整体风格和色彩的设计；
5、熟悉python等开发语言，熟悉运维业务运作流程优先考虑；
6、了解常用数据库系统，例如Oracle，MySQL等，熟悉常用的SQL语句。
7、具备好的团队能力和良好的沟通能力，良好的理解力和学习能力； 

职能类别：
高级软件工程师
关键字：
Python开发
微信分享"
后端高级工程师（Python）,https://jobs.51job.com/beijing-hdq/109278655.html?s=01&t=0,中建材信息技术股份有限公司,北京-海淀区,1.5-2.5万/月,03-26,"1、系统架构的开发；能给出系统的技术方案，核心代码开发和系统优化；
2、参与制定代码规范、测试规范，建立起开发质量控制方法；
3、协助团队攻克技术难关；参与技术调研，新技术引入等。

任职资格：
教育背景：本科及以上学历，计算机或相关专业毕业，能力优秀者可放宽;                                                                                                                     
工作经验：4年以上                                                                                                                          
技能、技术要求：
1. 熟练使用Python；精通Python开发框架：flask/django/tornado；
2. 熟练使用Mongo DB、redis、mysql 等数据库，熟悉性能优化；
3. 对面向对象有深刻的理解、熟悉常用设计模式，熟悉微服务架构，有丰富的开发经验；
4. 开发语言无依赖。有强烈的学习意愿，能够适应项目中不同语言的开发；
认证资格要求：无                                                                                                                       
通用胜任力素质要求：
1. 有扎实的编程能力，思路清晰，善于思考，能独立分析和解决问题；
2.责任心强，具备良好的团队合作精神和抗压能力；                
职能类别：
项目主管
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-ftq/111252070.html?s=01&t=0,北京展云科技有限公司,北京-丰台区,1.5-2.5万/月,03-26,"任职要求:
1. 三年以上工作经验。
2. 精通Python语言（Python3），熟练使用至少一门面向对象语言，精通至少一种Python Web后端框架（首选Flask, 其次Django）；
3. 能独立开发RESTful API服务；熟悉Python后端程序的性能优化；
4. 熟练掌握MongoDB，了解mongoDB机制，掌握各种查询语法，懂得数据库查询调优。能够使用MySQL、Redis，具有数据库设计和 SQL 优化能力；
5. 熟悉多进程、多线程、协程，熟悉常见的网络编程模型；
6. 熟悉http/websocket等协议及相关知识，熟悉nginx等web服务器常用配置；
7. 能够维护已有代码；
8. 良好的英文阅读与理解能力；
9. 能够接受的敏捷开发方式，紧张的开发节奏；
10. 具备良好的沟通能力和团队协作精神，善于学习、研究、总结，乐于分享。
职能类别：
软件工程师
关键字：
产品研发
微信分享"
Python开发工程师-北京-00113,https://jobs.51job.com/beijing/118708929.html?s=01&t=0,北软互联（北京）科技有限公司,北京,1-1.5万/月,03-26,"职位描述

职责描述：
1、根据项目需求，开发和维护python算法框架；
2、进行金融工程指定算法实现；
3、python相关系统的测试、安装部署、性能调优、技术支持等工作。
4、负责研发基于数理模型及人工智能算法的做市以及自营交易算法， 涵盖银行间市场主要交易资产类别，包含债券，外汇，贵金属等现货及各衍生品；
5、与客户业务部门紧密合作，负责客户委托的策略开发工作；
6、与公司开发团队紧密合作，负责把编辑的策略嵌入部署至系统中。
岗位职责

任职要求：
1、全日制大学本科及以上，数学、物理及计算机或相关专业；
2、具备2年以上python开发经验，有实际项目开发；对数据敏感，具备优秀的数据分析能力；
3、熟悉Windows及Linux下python的安装、部署及调试；
4、具备良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力；
5、熟悉金融行业基本知识及有金融工程算法开发实现经验者优先；
6、熟练使用python, R, matlab任意一项或者多项编程语音；
职能类别：
软件工程师高级软件工程师
微信分享"
Python开发工程师(网络安全行业）,https://jobs.51job.com/beijing-hdq/120500919.html?s=01&t=0,江苏御维科技有限公司,北京-海淀区,1.2-2万/月,03-26,"岗位职责
 1. 参与产品需求分析，产品设计；
 2. 负责系统RESTFUL服务接口开发，系统业务后台开发和相关文档的编写；
 3. 负责服务器性能的优化，保证服务端稳定安全的运行。
 岗位要求
 1. 本科及以上学历，3年以上Python语言开发经验；
 2. 熟练掌握flask开发框架，具有独立搭建web后端和部署的实际经验，能够实现后端需要的各种功能，除flask框架外，还熟悉其他python web开发框架者优先；
 3. 理解并能应用RESTFul规范,具备较强的编程能力和良好的编码风格；
 4. 熟悉 Linux 以及服务器端常用软件，对算法、数据结构有一定了解；
 5. 熟悉 MongoDB/MySQL/Redis/ElasticSerch 等数据库；
 6. 有网络安全产品开发经验者优先。
职能类别：
Python开发工程师
关键字：
python爬虫软件开发flask
微信分享"
python开发工程师,https://jobs.51job.com/beijing-cyq/119774827.html?s=01&t=0,360金融,北京-朝阳区,2.5-4万/月,03-26,"岗位职责：
1、负责算法模型的工程化实现；
2、协助或者负责框架设计。
任职要求：
1、需具备5年以上Python开发经验，参与过大型高并发网站开发和实施工作；
2、精通Python语言，熟练使用常用模块，使用过Flask/Django/Tornado等web框架；
3、具有良好的自学能力，能通过研究开源项目来解决开发中遇到的难题；
4、熟悉以下技术者优先考虑：Redis、Memcache、MongoDB、Hadoop。
职能类别：
软件工程师
微信分享"
python开发,https://jobs.51job.com/beijing-cyq/117614294.html?s=01&t=0,广州华钧软件科技有限公司,北京-朝阳区,2-3万/月,03-26,"工作职责：
      1. 负责公司devops平台的研发。
      2. 负责公司监控平台二次研发工作。
      3. 负责devops同k8s对接。
      职位要求：
      1. 熟悉python + django 框架。
      2. 熟悉vue， bootstrap, jquery，ajax等前端框架。
      3. 实施过devops平台 以及cmdb数据库的设计。
      4. 能够基于各种python开源框架做二次开发。
      5. 有reset api设计经验。
      6. 有k8s 运维经验优先。  
职能类别：
高级软件工程师软件工程师
关键字：
python开发
微信分享"
Python开发工程师,https://jobs.51job.com/beijing/87083574.html?s=01&t=0,博彦科技股份有限公司,北京,1-1.5万/月,03-26,"岗位职责：
人工智能类产品的相关开发工作

岗位要求：
1.计算机相关专业本科及以上学历，2年以上开发经验；
2.至少掌握一种动态语言的开发（如python, perl, ruby等），python优先；
3.良好的学习能力、沟通能力，较强的抗压，独立工作和解决问题的能力；
4.掌握基本的数据结构和算法知识；
5.掌握C#或其他编程语言者优先。
职能类别：
软件工程师
微信分享"
诚聘Python数据工程师,https://jobs.51job.com/beijing-cyq/120658903.html?s=01&t=0,北京环球医疗救援有限责任公司,北京-朝阳区,1.5-2万/月,03-26,"岗位职责：
1. 从结构化的和非结构化的数据中获取文本信息，对海量文本数据进行提取、去重、清洗、入库等操作
2. 综合运用各种算法对预处理后的文本数据进行搜索、分类、实体识别、关系识别、模式识别等操作
3. 参与数据产品的的需求调研和分析，撰写相关技术文档
4. 有时需要进行算法可视化的设计和研发

任职要求：
1. 计算机或相关专业本科以上
2. 熟练掌握Python语言，三年以上实际Python项目开发经验
3. Python的科学计算库numpy、scipy、数据分析库pandas、机器学习库scikit-learn库的熟练使用
4. Python的re、requests、beautifulSoup等库的熟练使用
5. 熟悉常见的数据库，例如MySQL、MongoDB、Redis等
6. 熟悉ElasticSearch等全文检索工具
7. 有深度学习、NLP算法经验是加分项
职能类别：
Python开发工程师算法工程师
关键字：
pythonpython数据python开发
微信分享"
Python开发工程师,https://jobs.51job.com/beijing/112936784.html?s=01&t=0,北京中软融通科技有限公司,北京,0.7-2万/月,03-26,"岗位职责：
1. 搭建系统开发环境，完成系统框架和核心代码的开发，负责解决开发过程中的技术问题
2. 负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作
3. 研究并跟踪IT前沿技术
任职要求：
1. 大学本科或以上学历，计算机或相关专业毕业，2年以上开发经验
2. 熟悉Linux操作系统
3. 熟悉HTTP、TCP/IP等协议
4. 熟悉常用数据结构及算法
5. 精通Python，掌握爬虫技术，熟悉 pyspider框架等；熟悉Django、tornado框架
6. 熟悉MySql数据库和Redis、MongoDB等NoSQL技术
7. 有移动互联网、微信公众号、小程序开发经验者优先
8. 需具备独立设计数据库并且独立开发内部系统的能力
9. 具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力，能够独立承受工作压力

职能类别：
高级软件工程师软件工程师
微信分享"
Python开发(数据分析),https://jobs.51job.com/beijing-hdq/120528651.html?s=01&t=0,清控紫荆（北京）教育科技股份有限...,北京-海淀区,1.5-2.2万/月,03-26,"一、 工作内容: 
1. 负责各广告投放、销售活动的数据获取、清洗、统计分析；
2. 开发数据统计分析结果报告；
3. 基于统计分析结果为业务部门提供过程改进解决方案。
4. 完成领导交办的其他任务。 
二、任职资格: 
1. 统招本科以上学历，计算机、统计学、数学相关专业优先； 
2. 熟悉python语言、linux操作系统、熟练使用python常用模块。 
3. 熟练使用pandas、numpy等库多数据进行组织清洗；熟练使用数据可视化工具库(Matplotlib、Seaborn、Pyecharts)一种，可以简单对数据结果进行可视化处理；
4. 至少熟悉tornado/flask/django等一种python框架,有过接口开发经验。
5. 软件开发相关经验3年以上；
6. 具备较强的逻辑分析和数据分析能力，工作认真负责，耐心仔细，学习能力强 ；
职能类别：
Python开发工程师
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-hdq/117620542.html?s=01&t=0,浙江华治数聚科技股份有限公司,北京-海淀区,1-1.5万/月,03-26,"1. 3 年以上 Python 开发经验，熟悉常见的服务端开发技术：Django/Mysql/Redis/Nginx/MongDB/MQ，熟练 Linux 的日常操作；
2. 了解计算机基本的系统原理：存储、网络、操作系统
2. 了解常见的在线交互、异步流程等系统设计方法，并能运用在实际业务当中；
3. 了解 Git 使用，代码有***。
职能类别：
软件工程师数据库工程师(DBA)
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-xcq/120152956.html?s=01&t=0,北京凯普顿医药科技开发有限公司,北京-西城区,1-2万/月,03-26,"职位描述：
 ? 1. 参与爬虫系统的架构设计与开发，开发分布式网络爬虫，提取结构化信息，识别结构化信息的质量，设计爬虫策略和防屏蔽规则，提升网页抓取的效率和质量
2. 基于python的后台系统、脚本开发和维护，根据需求完成一些系统后台搭建、客户端脚本、运维脚本等开发工作
 ? 岗位要求：
 ? 1. 本科毕业，计算机/软件相关专业优先
2. 从事 Python 开发2-3年及以上，熟练使用 Python 进行各种需求的开发，有其它后台语言经验者优先，如java、nodejs等
3. 熟悉 Linux 开发环境，熟练使用 Shell、git/svn，了解运用ajax、JavaScript、html、css、div等前端技术
4. 有mysql、mongodb、redis等常用数据库的使用经验
5. 有高并发服务的设计和实现经验，对分布式系统有很好的理解
 6. 熟知计算机网络协议，了解操作系统核心原理，具备开发高效低延迟程序的能力
 7. 有爬虫工作经验者优先，具有数据挖掘、自然语言处理、信息检索、机器学习背景者优先
 8. 热衷研究新兴技术，对技术精进有要求，愿意学习大数据相关知识，并付诸实践。 
职能类别：
Python开发工程师
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-hdq/114711267.html?s=01&t=0,天池创新（北京）软件技术有限公司...,北京-海淀区,1.5-2万/月,03-26,"岗位职责：（此岗位会进行背调，请保证简历的真实性）
1、海量数据的处理与分析；
2、开发自动化工具；
3、开发API接口共外部调用（高并发）
4、持续优化项目、性能调优等
5、参与项目的技术评审、代码评审等
6、参与项目需求分析、业务逻辑流程设计，技术文档编写
任职要求：
1、熟练使用python语言
2、熟练运用linux的基础命令
3、认真负责、勇于承担、自我学习能力强、善于沟通、有责任心、有良好的团队协作能力
职能类别：
软件工程师算法工程师
微信分享"
Java/Python软件工程师.,https://jobs.51job.com/beijing/98913477.html?s=01&t=0,南京拾柴信息科技有限公司,北京,0.8-2万/月,03-26,"工作职责：
1、 负责大数据类产品的系统设计和开发；
2、 负责数据后台服务的设计、开发、优化、测试等研发工作；
3、 和伙伴们一起研究技术；
4、 支撑前端开发，支撑数据工程师开发。

职位要求：
0、 扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；
1、 具有高度的责任心，坚定的执行力，较强的沟通力，善于团队协作，主动思考，自我驱动力强；
2、 熟悉Java或Python开发；
3、 熟悉MySQL，Redis等常用数据库，具有数据库开发和设计能力；
4、 有Hadoop/Spark开发经验优先；
5、 有全栈开发经验优先；
6、 有数据挖掘、机器学习开发经验优先。
职能类别：
软件工程师高级软件工程师
关键字：
JavaPython大数据
微信分享"
EPR开发工程师（JAVA/Python）,https://jobs.51job.com/beijing-hdq/120823291.html?s=01&t=0,紫光同芯微电子有限公司,北京-海淀区,1.5-2.5万/月,03-26,"工作内容：
1、负责公司常规业务系统（ERP、BPM、BI报表、办公系统等）开发和运维;
2、参与业务需求整理，业务系统选型和评估;
3、参与系统二次开发、实施和运维;
4、负责内部功能性程序的开发。
任职资格：
1、本科及以上学历，计算机软件等相关专业；3年以上企业信息系统开发经验；
2、掌握并熟练运用JAVA/Python及主流框架；掌握并熟练运用WEB前端开发；
3、熟悉ERP系统、供应链、CRM、财务系统、人力系统、数据交换、BI等系统开发优先；
4．熟悉主流数据库系统使用和优化（Oracle / Postgre SQL / My SQL / SQL Server之一）优先；
5、团队合作，钻研精神，责任心强，承压力强。

职能类别：
Python开发工程师
关键字：
javapython
微信分享"
python开发工程师（舆情方向）,https://jobs.51job.com/beijing-cyq/120818816.html?s=01&t=0,太极计算机股份有限公司,北京-朝阳区,1.1-1.8万/月,03-26,"岗位职责:
1.帮助舆情处工作人员梳理历史报告，了解历史报告组成结构和变化
2.通过程序方法将历史报告结构化，包括标题，内容主题，分块等
3.根据舆情处对结构化算法的设计和要求，改进报告结构化方法并通过关键词组合和/或正则表达式进行实现


任职资格:
1.积极主动，具备一定沟通能力，能快速理解用户的工作需求
2.具备基础代码能力（***是具备脚本类语言经验，python能力为佳）
3.有文本处理程序开发经验更佳
职能类别：
Python开发工程师
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-cyq/119888121.html?s=01&t=0,中国广视索福瑞媒介研究有限责任公...,北京-朝阳区,1.2-2万/月,03-26,"**工作职责**
1 后端的开发和部署；
2 已有项目的维护，bug处理等；
2 与产品和前端沟通，确定技术路线、解决前后端联调中的问题等；
**技术要求**
1 熟悉Python；
2 熟悉Django框架和Django RestFul框架；
3 熟悉HTTP协议；
4 对Redis，Elasticsearch，Celery，PostgreSQL等常规后端技术栈有充分的了解，在实际工作中对其中一种或者多种有过应用；
5 理解前端常规技术和原理，理解JavaScript，NodeJs；
6 理解ci，在实际工作中有部署ci的经验；
7 理解自动化测试，在实际工作中有部署自动化测试的经验；
8 熟悉git，理解常规的版本控制原理和良好实践；
9 熟练阅读英文文档
**团队要求**
1 工作主动性强，自我驱动，目标导向，结果导向，对进度和结果负责；
2 良好的团队意识和沟通技巧，能理解团队有成绩个人才有成绩；
3 独立分析和解决问题的能力；
4 抗压能力强。
职能类别：
Python开发工程师
关键字：
python
微信分享"
Python开发工程师-北京-05233,https://jobs.51job.com/beijing/119784604.html?s=01&t=0,博彦科技股份有限公司,北京,0.9-1.3万/月,03-26,"岗位职责
（1）全面、认真地理解系统需求和系统设计。
（2）对系统设计进行实现最后层次的细化工作。
（3）独立承担编制代码及代码的单元测试工作。
（4）负责解决开发中遇到的较复杂的技术难题和技术攻关。
（5）负责核心业务、公共组件等重要功能的编程实现。
（6）认真贯彻执行公司质量体系文件及其相关制度的管理要求。
（7）执行公司、中心各项管理制度、标准作业规程和操作规范，确保各项工作符合规范化要求。
任职要求
（1）学历大专及以上，实际工作两年及以上。
（2）精通OO，AOP，设计模式，熟悉多线程并发，网络编程技术。
（3）精通python 技术栈，包括 pandas，numpy等，熟悉使用python进行数据处理。
（4）熟练使用Mysql、Oracle数据库，掌握sql语言规范，具有国产数据库、分布式数据经验者加分。
（5）有分布式开发经验、熟练使用分布式服务框架，消息中间件和分布式存储系统等。
（6）对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。
职能类别：
软件工程师
微信分享"
Python开发（AI语音识别方向）,https://jobs.51job.com/beijing-hdq/118385358.html?s=01&t=0,中软国际科技服务有限公司,北京-海淀区,1-1.5万/月,03-26,"SPEECH
背景介绍：
近些年来，随着移动互联网和移动终端设备的高速发展，语音识别也开始步入到我们的日常生活中，并逐渐为大众所了解，语音识别的发展也日新月异。语音技术正伴随着设备计算能力、网络技术等的发展，从实验室走入现实生活，从“超前”、不成熟变成越来越有价值的商业应用，这项技术使人类以最自然的方式与设备交互从而正在改变未来。在移动互联网，智能家居，可穿戴设备，车载设备等领域的广阔前景，使全球各大科技公司（微软、苹果、谷歌、三星、百度...）都在争相投入巨资进行研发。
中软语音团队与微软合作，在这个领域潜心耕耘了14年，我们的工程师正在与微软科学家一起为Cortana智能语音助手、Skype Translator等产品共同努力。热忱期待有专业的语音识别或自然语言处理背景的专家，同时也欢迎有坚实的计算机科学基础，对于新技术有强烈渴望、有创新精神、致力于语音技术发展的优秀人才加入我们。
项目名称 Speech （认真严谨）语音识别开发
岗位名称（中文） 开发工程师（北京）
技能点：Java/C/C++/Python
级别：中高级 3年以上
岗位职责:
1、产品模型识别缺陷修复
2、产品模型识别缺陷修复
涉及的工具开发，40%开发量
3、产品模型识别缺陷跟踪，汇报
必备项(Must)
1）必须具备 Python
2）熟练掌握 或C/C++
3）可以独立使用的技能 或Java
岗位要求： 3年以上Java/C/C++/Python 工作经验，大专（学信网可查）及以上工作经验，英语口语可以开口做简单的英语自我介绍，项目的一些对接，简单的英译汉，汉译英翻译，计算机相关专业。有2年以上编程经验，至少熟练一种编程语言，如 C/C++/C#/Java/Python
· 熟练使用至少一种脚本语言，perl优先 。
· 精通正则表达式，并有实际文本处理经验。
· 细心，有负责心，善于学习，钻研，较强的沟通能力。
· 通过英语四级，可以用英文进行书面汇报。
有语音识别背景优先
· 熟悉多国语言者优先。
工作时间：弹性工作制：早8:30--17:30 或早9:30--18:30 周末双休
五险一金 法定节假日休息 薪资体面议，
工作地点：北京市海淀区美丽园中路16号院5号楼 裕友大厦4层
职能类别：
语音识别工程师
关键字：
PythonCC++JAVA开发产品人工智能
微信分享"
Python开发工程师,https://jobs.51job.com/beijing-hdq/119333598.html?s=01&t=0,北京中科三方网络技术有限公司,北京-海淀区,0.8-1万/月,03-25,"岗位职责：
负责网页信息抽取、数据清洗等研发和优化工作；
负责公司数据仓库平台的 ETL 分析、设计、开发工作。   
任职资格：
统招本科以上学历，985/211院校2020年应届生，计算机相关专业；
熟悉 Linux 平台开发，精通 Python 编程；
精通网页抓取原理及技术；
精通正则表达式，从结构化的和非结构化的数据中获取信息；
熟悉 MySQL、Redis、MongoDB 等数据库；
需要先实习，有解决北京户口的机会。
职能类别：
大数据开发工程师
关键字：
pythonlinux爬虫北京户口
微信分享"
