职位名称,详细链接,公司名称,工作地点,薪资,发布时间,职位信息
Python开发工程师,https://jobs.51job.com/shanghai-jaq/120911076.html?s=01&t=0,上海宽带技术及应用工程研究中心,上海-静安区,1-1.5万/月,03-26,"职位描述1.根据产品或项目的要求，参与业务集成、系统设计；2.对接算法工程师，将算法工程师提交的算法进行工程化与后端进行对接；3.完成编程、调试和单元测试工作；4.负责相关开发文档的编写；职位要求1.本科以上学历，计算机相关专业毕业；2&nbsp;个以上完整项目经验；2.有1年以上Python&nbsp;开发经验，能独立解决开发过程中遇到的各种问题；3.良好的编码风格和编程习惯，对高质量的代码有执着的追求;熟练掌握SVN，Git&nbsp;等代码版本管理工具的使用;4.&nbsp;良好的团队精神和沟通能力，高度的事业心和责任感，工作认真负责，具有良好的职业操守。加分项1.了解HTTP&nbsp;协议,&nbsp;有Web&nbsp;应用程序开发经验;2.熟悉TCP/IP&nbsp;协议,&nbsp;有网络服务编程经验者优先;3.有丰富数据库使用经验者优先;4.有JAVA&nbsp;开发经验者优先；5.有爬虫使用经验者有限；"
C/C++/Python开发工程师,https://jobs.51job.com/shanghai-xhq/120909208.html?s=01&t=0,上海工业自动化仪表研究院有限公司...,上海-徐汇区,15-20万/年,03-26,岗位职责：1．参与协议与安全审计产品的设计及开发工作；2．参与项目需求分析、功能可行性分析、技术可行性分析和系统架构设计工作；3．根据产品需求，对协议与安全审计产品架构及性能进行优化；4．编写技术文档，并对有关人员进行培训。岗位要求：1. 3年以上Windows/Linux  &nbsp;python/C/C++编程经验；2. 掌握Windows/Linux操作系统多线程开发，熟悉内存管理、进程间消息传递等机制；3. 精通TCP/IP协议栈，有实际网络编程经验，有网络优化经验；4. 熟悉Windows/Linux系统访问控制、防火墙机制、SELinux机制；5. 有linux内核编程经验，熟悉netfilter机制优先；6. 熟悉Linux安全加固相关技术，有安全审计开发经验优先，有操作系统防护经验优先；7. 熟悉shell/python中的一种语言；8. 能独立承担重要模块的设计及开发工作；9. 熟悉网络安全，有网络安全开发经验；10. 有机器学习和数据挖掘相关经验优先；                                                                11. 较强的学习能力和团队沟通能力，思路敏捷，做事认真。
Python开发工程师,https://jobs.51job.com/shanghai-cnq/120895491.html?s=01&t=0,上海维弘信息科技有限公司,上海-长宁区,1-1.5万/月,03-26,1.&nbsp;&nbsp;&nbsp;3年以上开发经验2.&nbsp;&nbsp;&nbsp;熟悉ORM&nbsp;(Object&nbsp;Relational&nbsp;Mapper)&nbsp;libraries3.&nbsp;&nbsp;&nbsp;熟悉在一个系统中调用多个数据资源与数据库4.&nbsp;&nbsp;&nbsp;熟悉multi-process&nbsp;architecture，和python中的线程限制5.&nbsp;&nbsp;&nbsp;熟悉&nbsp;event-driven&nbsp;programming&nbsp;in&nbsp;Python6.&nbsp;&nbsp;&nbsp;熟悉&nbsp;test-driven&nbsp;programming&nbsp;in&nbsp;Python7.&nbsp;&nbsp;&nbsp;强大的test和debugging技巧8.&nbsp;&nbsp;&nbsp;有航空客票销售领域工作经验者优先9.&nbsp;&nbsp;&nbsp;有良好的编程规范及开发技能10.&nbsp;有较好的合作精神和主动性
Python开发工程师,https://jobs.51job.com/shanghai/115980776.html?s=01&t=0,“前程无忧”51job.com（上海）,上海,,03-26,工作地点：张江岗位职责    1.负责用python语言实现产品的后端研发；    2.负责高质量的设计和编码；    3.承担重难点技术攻坚任务；    4.参与产品的讨论和开发实现；岗位要求1.一年以上工作经验；2.熟悉python后台开发，有完整的项目开发经验，熟练使用Django或flask框架；3.熟悉linux平台，能够独立完成python项目部署、调优、运维；4.熟悉mysql数据库和redis数据库；5.对项目安全性问题和并发问题有一定理解和相应的解决方法。
Python（Odoo）工程师,https://jobs.51job.com/shanghai-pdxq/119746269.html?s=01&t=0,小派科技（上海）有限责任公司,上海-浦东新区,1-1.5万/月,03-26,岗位职责：1.用Python开发Odoo客制化新模块；&nbsp;2.实现Odoo和其他系统的接口；&nbsp;3.参与Odoo平台的维护、设计，并提出较好的意见和方案； 负责成员技术培训及指导。任职要求：1. 有Odoo开发经验，精通Python编程，掌握Python的高效写法；&nbsp;2. 熟悉Odoo框架，了解Odoo使用的基本Python库，能熟练的对Odoo进行二次开发；&nbsp;3. 熟悉项目开发、测试等流程及相关开发和管理工具；&nbsp;4. 有较强的沟通能力和文字能力，能够培训开发人员；&nbsp;5.&nbsp;为人正直、诚恳，工作认真细致、积极主动、注重细节，学习能力强，善于思考和总结，高度的责任心及团队合作精神。&nbsp;
Python数据分析师,https://jobs.51job.com/shanghai-mhq/117649241.html?s=01&t=0,上海软科教育信息咨询有限公司,上海-闵行区,0.8-1.5万/月,03-26,岗位职责：1、高校数据库的管理与维护；2、高校数据的分析；3、协助开发各类数据平台；4、数据清洗与入库；5、完成上级安排的其他工作。岗位要求：1、全日制本科以上学历，计算机相关专业，1年以上相关工作经验；2、熟悉python，全面掌握python的基本语法，基本数据结构，常用library，熟悉numpy，pandas的基本用法和功能，了解Python自然语言处理；3、熟练掌握MySQL；4、有一定的数理统计基础，热爱和数据打交道；5、认同创业文化，事业心强。
Python开发工程师,https://jobs.51job.com/shanghai-ypq/120474003.html?s=01&t=0,上海欧锐信息咨询有限公司,上海-杨浦区,0.8-1.2万/月,03-26,1、&nbsp;对各主流网站和电商内容的爬取以及爬虫的维护2、&nbsp;参与大数据搜索、统计分析系统开发3、各大社交媒体、直播平台网红的动态粉丝数，图片，以及其他信息的抓取4&nbsp;、负责核心爬虫系统设计、数据库设计与实现岗位要求：1、有小红书、抖音等社交APP数据抓取，爬虫开发经验者，优先考虑；2、 Python 爬虫经验，扎实的编程功底，良好的编码风格及编码能力&nbsp;3、熟悉常用的信息抓取策略和数据重组算法4、&nbsp;熟悉爬虫系统整个生命周期的设计及实现，有负责核心框架建设和技术攻关能力
Python开发工程师,https://jobs.51job.com/shanghai-pdxq/120657799.html?s=01&t=0,上海锐赢信息技术有限公司,上海-浦东新区,1.5-2万/月,03-26,岗位职责：1、分析提炼现有流程及业务场景，负责通用组件开发和模板库建设；2、推进体系化机器人工厂，参与编码实施、测试和文档编写；3、解决项目中的关键问题和技术问题；4、完成项目经理交代的其它任务。岗位要求：1、五年以上相关岗位工作经验，计算机相关专业；2、熟练掌握python语言的基本语法，代码能力优秀；3、有较丰富的机器人项目实施经验，具备业务场景分析、提炼及产品设计能力；4、熟悉mysql数据库操作，熟悉java语言者优先；5、熟悉python自动化，至少有2年RPA流程机器人开发经验，熟悉艺赛旗机器人管理平台；6、责任心强，沟通能力佳，主动性强，执行能力强且善于思考。
Python开发工程师,https://jobs.51job.com/shanghai-pdxq/119912712.html?s=01&t=0,FOTRIC热像科技,上海-浦东新区,1.2-1.6万/月,03-26,1）&nbsp;负责后端服务的优化与改进；2）负责http接口测试的搭建与部署；3）负责发布系统环境的搭建和运维；4）熟练使用Flask或Django等Python web框架，并能搭建apache/nginx/iis服务器；5）熟悉MySQL/Mongo/Redis的使用；任职要求：1.熟练使用Python，基本功扎实，标准库熟练；2.熟练使用Flask作为项目开发框架；3.熟练使用Mysql数据库，具备良好的编程能力和编码风格；4.具备较强的逻辑分析能力和学习能力；                                            5.具有良好的沟通能力、团队合作能力和创新精神；
Python/Odoo高级开发工程师,https://jobs.51job.com/shanghai/116881344.html?s=01&t=0,上海喜宝供应链管理有限公司,上海,2.5-3万/月,03-26,职位描述：1.&nbsp;用Python开发Odoo（OpenERP）相关模块；2.&nbsp;快速、准确理解功能设计文档，根据需求编写技术概要、详细设计、开发实现，负责设计文档、技术文档、用户文档、实施文档的编写；3.&nbsp;负责相关软件模块的完善和性能调优工作；4.&nbsp;实现Odoo和其他系统的接口，比如电商平台等；5.&nbsp;对前瞻技术研究，站在用户体验角度提出产品改善意见；6.&nbsp;把控整个组内的代码质量和技术培养；负责团队成员技术培训及指导。岗位要求：1.&nbsp;有3年以上Python开发经验，精通Python编程，掌握Python的高效写法；2.&nbsp;熟悉JavaScript，熟悉Linux操作系统，熟练掌握Shell脚本语言；熟悉使用git等代码管理工具；3&nbsp;.熟悉Postgre&nbsp;SQL数据库，能熟练编写sql语句；4.&nbsp;具备大规模高并发访问的服务集群架构设计和开发经验者优先；5.&nbsp;有钻研问题并解决问题的兴趣和毅力，有团队合作精神、责任心、能接受建议，具备良好的表达和沟通能力。有较强的自学能力和技术攻关能力。
Python开发工程师,https://jobs.51job.com/shanghai-hpq/109016702.html?s=01&t=0,学慧帮（上海）企业管理咨询有限公...,上海-黄浦区,2.3-2.8万/月,03-26,"You’ll work within our R&amp;D Lab in Shanghai on our Digital Learning platform (web application) and in charge of the development of our new features and its integration within the platform.DUTIES -          Innovation according the roadmap on the new platform functionalities (backend coding)-          Support on operational project for advanced technical development-          Documentation of the development via WikiSKILLS -          Strong knowledge in Python-          Able to use Django framework -          Knowledge expected in Git, Github, HTML/CSS-          Knowledge expected in MySQL (MongoDB a plus)-          Able to communicate in EnglishQUALIFICATIONS - over 5 years’ professional experience in back-end development-          Bachelor/Master degree in Computer Science                                                                            -          International studies experience would be a plus-          English workable "
python开发,https://jobs.51job.com/shanghai-hkq/117611952.html?s=01&t=0,深圳市捷兴电子商务有限公司,上海-虹口区,2-3万/月,03-26,"工作职责：&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1.&nbsp;负责公司devops平台的研发。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2.&nbsp;负责公司监控平台二次研发工作。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3.&nbsp;负责devops同k8s对接。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;职位要求：&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1.&nbsp;熟悉python&nbsp;+&nbsp;django&nbsp;框架。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2.&nbsp;熟悉vue，&nbsp;bootstrap,&nbsp;jquery，ajax等前端框架。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3.&nbsp;实施过devops平台&nbsp;以及cmdb数据库的设计。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;4.&nbsp;能够基于各种python开源框架做二次开发。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;5.&nbsp;有reset&nbsp;api设计经验。&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;6.&nbsp;有k8s&nbsp;运维经验优先。&nbsp;&nbsp;"
Python开发工程师,https://jobs.51job.com/shanghai/120532783.html?s=01&t=0,上海占域实业有限公司,上海,6-8千/月,03-26,岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休python工程师
Python开发工程师,https://jobs.51job.com/shanghai/101535573.html?s=01&t=0,我查查信息技术（上海）有限公司,上海,1.5-2万/月,03-26,"1岗位职责1、参与系统的需求调研和需求分析；2、搭建系统开发环境，完成系统框架及核心代码；3、系统开发测试、部署和集成；1.本科及以上学历，计算机相关专业毕业，三年以上的工作经验；2.精通python语言及标准库，熟悉一定开源库,&nbsp; 有面试对象思维3.理解同步，异步，多线程、socket相关技术，有大规模分布式系统的开发和高可用相关的实践经验4.熟悉Redis，MongoDB，RabbitMQ等，并具备实际的业务落地经验；5.精通面向对象分析和设计技术，熟悉设计模式、UML建模等；6.熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范7.熟悉&nbsp; Docker或kubernetes自动化运维实践&nbsp;&nbsp;&nbsp;"
python开发项目经理,https://jobs.51job.com/shanghai-ypq/117944790.html?s=01&t=0,上海犀语科技有限公司,上海-杨浦区,2.6-4万/月,03-26,"岗位职责：&nbsp;&nbsp;1. 负责公司业务后端服务框架的架构与优化；&nbsp;&nbsp;2. 系统需求分析与设计，核心模块的开发工作；&nbsp;&nbsp;&nbsp;3.    根据开发进度和任务分配，完成相应模块的开发、编程、测试任务，解决关键问题和寻找技术方案&nbsp;&nbsp;&nbsp;职位要求:&nbsp;1. 全日制本科以上学历，3年以上编程经验;&nbsp;&nbsp;2. 精通python语言,&nbsp; 有Restful API开发经验；&nbsp;&nbsp;3.    熟练使用至少一种数据库（MySQL/PostgreSQL/Redis/MongoDB)；&nbsp;4 熟悉numpy、pandas等科学计算包者优先；&nbsp;&nbsp;5. 有独立分析和解决问题的能力，有良好的团队合作精神；&nbsp;6. 主导开发实际python项目优先&nbsp;。"
erlang/python服务器开发工程师,https://jobs.51job.com/shanghai-xhq/98416948.html?s=01&t=0,孤岛（上海）软件有限公司,上海-徐汇区,1.5-3.5万/月,03-26,1.      岗位职责1)      使用erlang/python语言开发游戏服务器功能2)      根据产品需求，完成功能模块的设计，编码和测试工作3)      承担部分服务器线上的运营工作2.      岗位要求1)      计算机相关专业，熟悉linux开发环境2)      精通C/C++编程语言，熟悉erlang或函数式语言更佳3)      精通常用数据结构和算法，具备良好的程序设计和实现基础4)      热衷于钻研技术，热爱游戏，热爱软件开发，工作踏实认真，责任心强，抗压能力强，勇于接受挑战5)      善于沟通，有良好的团队合作精神和独立分析解决问题的能力                                        6)      熟悉网络、数据库者优先；有游戏服务器开发经验者优先非游戏行业的不考虑，谢谢~
python爬取工程师,https://jobs.51job.com/shanghai/119683940.html?s=01&t=0,上海恒生聚源数据服务有限公司,上海,1.5-2.5万/月,03-26,岗位职责：&nbsp;1.负责公司数据源抓取需求，满足公司对多源数据采集要求；&nbsp;2.负责开发分布式爬虫框架，管理分布式爬虫服务器，开发任务调度引擎；&nbsp;3.负责爬虫核心算法的策略优化研究，提升爬虫抓取效率和质量，提升网页抓取的效率和质量；&nbsp;4.设计爬虫策略和防屏蔽规则，解决封账号、封IP、验证码、JS加密等难点攻克；&nbsp;5.利用主流的大数据相关技术，对抓取后的网页数据进行清洗、存储等；并持续优化平台，以便满足各种爬取业务需求。&nbsp;任职要求：&nbsp;1.本科及以上学历，计算机相关专业，3年及以上工作经验；&nbsp;2.精通Python语言，至少3年Python相关的开发经验，有Java、C#、Go语言使用经验者优先；&nbsp;3.有Python分布式抓取系统的开发、架构经验，至少熟悉并使用过一种主流爬虫架构，如Scrapy、Gocolly、Webmagic等；4.熟悉前端页面技术，如html、js、ajax等；&nbsp;5.有海量数据爬取、解析、清洗、存储相关项目经验；&nbsp;6.熟悉网页抓取原理及技术，能够总结分析不同网站，网页的结构特点及规律；&nbsp;7.熟悉反爬策略的应对，能够解决封账号、封IP、验证码、JS加密等问题；8.熟悉Linux系统环境；9.熟悉Mysql、Redis、MongoDB等数据库，有过数据库调优和海量数据存储经验者优先。
高级Python开发工程师,https://jobs.51job.com/shanghai/105294644.html?s=01&t=0,字节跳动,上海,2.5-5万/月,03-26,"1、负责抖音、TikTok等产品的服务端研发；2、深入发掘和分析业务需求，撰写技术方案和系统设计；3、根据产品需求，进行系统设计和编码；4、持续对系统架构进行改造和优化；职位要求：1、三年以上开发经验，一年以上的Python开发经验；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、Socket等相关技术；3、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4、熟练掌握Django, Tornado，Sqlalchemy，Celery等主流框架，深入理解框架实现原理及特性；熟练使用python的常用库；5、熟悉Python的高级特性，深入理解各种设计模式和应用场景。6、有大规模分布式系统的开发和高可用相关的实践经验，具备设计复杂系统的能力；7、熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；8、熟练掌握一种以上非关系型数据库，如Redis, Cassandra，理解其使用场景及限制；9、熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理；10、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；11、有以下经验者优先：① 具有golang实际工作经验；② 具有大规模分布式系统的调优经验；"
Python高级开发经理,https://jobs.51job.com/shanghai-mhq/118189369.html?s=01&t=0,上海灏程信息科技有限公司,上海-闵行区,2.5-4万/月,03-26,"1、负责公司用户端业务接口的功能开发和代码维护，能独立完成子系统和功能模块开发，编写完整的接口文档；  2、根据需求制定技术方案，项目计划以及开发,学习研究***，并将之应用到工作当中  3、根据产品需求，进行系统设计和编码, 持续对系统架构进行改造和优化  4、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；     岗位要求：  1、7年及以上Python开发经验，至少2年的团队管理经验，熟练Flask，Django, Sanic, Sqlalchemy，Celery等主流框架, 深入理解框架实现原理及特性, 熟练使用python的常用库, 熟悉网络爬虫2、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉MySQL、Redis等，具备数据库应用、设计能力3、理解并能应用RESTFul规范,具备较强的编程能力和良好的编码风格4、熟练掌握Python语言及web相关技术栈5、善于团队合作与管理，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心6、了解异步框架Async,集群与负载均衡,消息中间件等技术7、不了解异步框架的请慎投，谢谢！"
